Idade,Score,Limite_Credito,Inadimplente,Cidade,Emprego,Renda_Mensal
59,534,4644,0,Porto Alegre,Autônomo,4875
20,345,2931,1,São Paulo,Empresário,9032
47,815,10024,0,Belo Horizonte,Assalariado,3179
20,600,5331,0,Rio de Janeiro,Desempregado,1025
19,686,7558,0,Fortaleza,Desempregado,-57
67,418,3564,0,São Paulo,Empresário,9481
59,789,8629,0,Porto Alegre,Assalariado,3632
62,683,5738,0,Porto Alegre,Assalariado,2485
35,717,8542,0,Fortaleza,Estudante,288
60,634,4583,1,Belo Horizonte,Assalariado,3710
44,657,8170,0,Fortaleza,Desempregado,1124
60,787,6409,0,Salvador,Autônomo,4743
18,523,6334,1,Salvador,Assalariado,3668
39,778,9700,0,Fortaleza,Autônomo,5648
54,408,4951,0,Porto Alegre,Autônomo,5446
27,396,2854,1,Rio de Janeiro,Desempregado,-283
40,467,3702,1,Rio de Janeiro,Autônomo,5402
33,808,9002,0,São Paulo,Assalariado,2906
63,681,6439,0,Porto Alegre,Autônomo,4879
29,440,3327,1,Belo Horizonte,Autônomo,5484
27,833,8982,0,Porto Alegre,Estudante,309
45,587,4696,0,Fortaleza,Estudante,840
66,631,4363,0,Porto Alegre,Assalariado,3094
23,462,4598,0,São Paulo,Empresário,9343
34,432,2979,0,Rio de Janeiro,Desempregado,917
32,523,6562,0,Salvador,Autônomo,4504
24,338,4927,1,Porto Alegre,Empresário,9298
49,389,4050,1,Porto Alegre,Estudante,1712
20,346,1737,1,São Paulo,Autônomo,5476
27,777,7208,0,Belo Horizonte,Empresário,9546
46,551,6890,0,Belo Horizonte,Empresário,9315
50,661,5617,1,Porto Alegre,Autônomo,5441
65,446,4969,0,Porto Alegre,Estudante,1248
66,643,6052,1,Fortaleza,Empresário,10219
45,845,10336,0,São Paulo,Empresário,10608
45,363,1932,1,Fortaleza,Empresário,10149
33,497,4708,1,São Paulo,Empresário,10325
54,657,7148,0,Rio de Janeiro,Autônomo,4029
49,645,6699,0,Belo Horizonte,Autônomo,4500
58,456,4228,1,Rio de Janeiro,Estudante,960
53,817,8183,0,São Paulo,Empresário,9170
57,599,6294,0,Rio de Janeiro,Autônomo,5191
61,584,6944,1,Porto Alegre,Estudante,1225
39,805,7834,0,Fortaleza,Estudante,1535
43,396,3749,1,Fortaleza,Autônomo,4558
44,379,5555,0,Rio de Janeiro,Autônomo,5102
44,621,5993,0,São Paulo,Assalariado,2095
64,589,7548,0,São Paulo,Desempregado,958
33,560,6277,0,São Paulo,Assalariado,3275
34,369,5300,0,Salvador,Desempregado,441
21,576,5267,0,Salvador,Assalariado,3249
21,729,7899,0,Fortaleza,Desempregado,1342
36,500,3584,1,Fortaleza,Empresário,9385
61,439,4743,1,Belo Horizonte,Estudante,350
60,389,4307,1,Rio de Janeiro,Estudante,957
20,729,8495,0,Salvador,Desempregado,530
61,488,5674,0,Belo Horizonte,Autônomo,5949
56,606,7224,0,Fortaleza,Assalariado,3970
28,470,4850,1,Belo Horizonte,Empresário,9895
59,337,1583,1,Belo Horizonte,Desempregado,865
39,567,4970,1,Rio de Janeiro,Estudante,1874
65,706,6324,0,Porto Alegre,Autônomo,4534
23,775,8640,0,Fortaleza,Estudante,857
42,705,6110,0,Porto Alegre,Desempregado,196
18,831,7173,0,Belo Horizonte,Desempregado,1413
35,366,4714,0,Porto Alegre,Empresário,10825
24,593,6607,1,Fortaleza,Estudante,468
21,725,5484,0,Salvador,Autônomo,5274
37,836,9576,0,Salvador,Autônomo,4268
35,497,4808,0,Salvador,Desempregado,271
53,706,6290,1,Fortaleza,Empresário,10210
67,560,5805,1,Porto Alegre,Autônomo,5690
37,448,2517,0,Porto Alegre,Assalariado,2752
59,616,5328,1,Porto Alegre,Desempregado,-34
47,434,3317,0,Rio de Janeiro,Assalariado,2498
21,417,3772,1,São Paulo,Estudante,890
29,328,5052,0,Salvador,Empresário,10934
30,446,6220,0,São Paulo,Empresário,10185
55,762,6669,0,Salvador,Estudante,988
46,340,4309,1,Porto Alegre,Autônomo,5818
64,825,9011,0,Porto Alegre,Assalariado,3193
57,354,4387,0,Fortaleza,Assalariado,3394
20,573,5603,0,Fortaleza,Assalariado,2623
68,583,4814,1,Salvador,Empresário,9778
33,490,2948,1,Rio de Janeiro,Empresário,10333
57,326,1707,0,Belo Horizonte,Empresário,10656
18,322,2790,1,São Paulo,Empresário,10232
52,755,6502,0,São Paulo,Desempregado,-287
32,437,4082,0,Porto Alegre,Empresário,9627
55,402,3800,1,Belo Horizonte,Estudante,667
33,329,2607,0,São Paulo,Estudante,1093
26,368,3518,1,Porto Alegre,Empresário,9652
19,720,5895,1,São Paulo,Estudante,167
37,789,9303,0,São Paulo,Empresário,9048
19,842,10093,0,Belo Horizonte,Assalariado,3046
25,843,9156,0,São Paulo,Assalariado,3976
35,687,5341,0,Rio de Janeiro,Desempregado,1367
27,746,7377,0,Belo Horizonte,Assalariado,2267
31,470,3449,0,Fortaleza,Empresário,10574
60,349,2047,1,Fortaleza,Estudante,1143
54,778,9321,1,Belo Horizonte,Estudante,1570
60,401,5024,1,Rio de Janeiro,Empresário,10931
48,571,3899,1,Fortaleza,Assalariado,3714
65,455,4919,0,Belo Horizonte,Desempregado,1314
67,611,4429,0,Belo Horizonte,Desempregado,843
69,717,8586,0,São Paulo,Autônomo,4914
29,797,5984,0,São Paulo,Estudante,1097
23,605,5339,0,Fortaleza,Desempregado,546
19,846,6682,0,Belo Horizonte,Autônomo,5586
45,654,8464,1,Rio de Janeiro,Assalariado,3689
56,434,6176,1,Porto Alegre,Autônomo,4301
41,360,3348,1,Rio de Janeiro,Estudante,1338
39,460,3466,0,Fortaleza,Desempregado,-451
31,454,5879,0,Porto Alegre,Assalariado,2279
64,551,7139,0,Fortaleza,Desempregado,145
59,361,2290,1,Belo Horizonte,Autônomo,5224
59,798,7417,0,Fortaleza,Empresário,10801
51,672,5149,0,Fortaleza,Estudante,1555
56,303,4901,0,Porto Alegre,Assalariado,3162
40,387,5339,1,São Paulo,Assalariado,2796
50,830,6437,0,São Paulo,Autônomo,5688
57,478,5544,1,Belo Horizonte,Empresário,10657
32,602,4933,1,Rio de Janeiro,Autônomo,4100
26,429,3708,1,Belo Horizonte,Empresário,9613
38,612,4580,0,Fortaleza,Estudante,641
62,613,6490,0,Salvador,Autônomo,5534
26,350,3261,0,Salvador,Autônomo,4939
69,649,7747,1,Rio de Janeiro,Assalariado,2790
49,773,7877,0,Rio de Janeiro,Empresário,9870
42,717,8180,0,Belo Horizonte,Estudante,1660
43,817,7875,0,Belo Horizonte,Autônomo,4509
37,803,8642,0,Fortaleza,Desempregado,-241
36,743,7104,1,Rio de Janeiro,Assalariado,2010
57,732,5420,0,Salvador,Empresário,10323
34,614,6514,0,Porto Alegre,Empresário,9228
40,622,8101,1,Porto Alegre,Autônomo,5552
59,589,7553,0,Porto Alegre,Estudante,1454
64,502,4393,1,São Paulo,Desempregado,-296
40,681,8680,0,Salvador,Empresário,10270
46,350,3434,0,São Paulo,Desempregado,123
21,599,6524,1,Fortaleza,Assalariado,3648
22,491,5274,0,Rio de Janeiro,Autônomo,5649
59,322,1265,0,São Paulo,Autônomo,4537
24,303,2822,1,Belo Horizonte,Assalariado,2363
26,846,10195,0,Fortaleza,Assalariado,2994
21,523,6024,0,Salvador,Estudante,1085
37,729,7820,0,São Paulo,Estudante,1152
47,659,4802,0,Fortaleza,Assalariado,3258
48,819,7326,0,São Paulo,Estudante,1865
32,649,7686,0,Fortaleza,Autônomo,5043
48,604,5276,0,São Paulo,Empresário,9150
