Subscription Date,Churn Date,Customer Segment,Churn Reason,Subscription Duration (days),Acquisition Channel,Call Minutes (monthly),Data Usage (MB monthly),Location
2023-07-02,,pré-pago,,,Publicidade Tradicional,431,775,CA
2023-06-16,,pós-pago,,,Busca Online,284,1206,FL
2023-02-26,,pós-pago,,,Publicidade Tradicional,506,866,CA
2023-07-22,,pré-pago,,,Publicidade Tradicional,645,796,TX
2023-05-09,,pós-pago,,,Publicidade Tradicional,325,4691,FL
2023-05-23,,pré-pago,,,Referência,653,3493,WA
2023-01-17,,pré-pago,,,Busca Online,917,4233,CA
2022-09-14,,pré-pago,,,Referência,380,3403,IL
2023-03-29,2023-05-20,pós-pago,Qualidade do Serviço,52.0,Redes Sociais,844,1643,NY
2022-09-06,,pós-pago,,,Busca Online,297,2914,NY
2023-06-02,2023-10-22,pré-pago,Atendimento ao Cliente,142.0,Redes Sociais,31,2198,IL
2023-06-21,,pré-pago,,,Referência,117,3514,CA
2023-04-05,,pré-pago,,,Redes Sociais,757,701,CA
2022-10-01,,pré-pago,,,Busca Online,799,3776,FL
2023-05-05,,pré-pago,,,Redes Sociais,315,996,FL
2022-09-24,,pós-pago,,,Publicidade Tradicional,207,3153,NY
2023-01-20,2023-01-24,pós-pago,Mudança para concorrente,4.0,Publicidade Tradicional,41,3200,CA
2022-12-25,,pré-pago,,,Busca Online,377,475,WA
2023-08-17,,pós-pago,,,Referência,701,2698,IL
2023-02-04,,pós-pago,,,Redes Sociais,54,167,TX
2023-03-11,,pré-pago,,,Referência,782,1787,CA
2023-02-24,,pós-pago,,,Referência,78,1753,IL
2022-10-16,,pré-pago,,,Referência,86,3513,CA
2022-11-18,,pré-pago,,,Redes Sociais,452,2020,WA
2022-10-09,,pós-pago,,,Busca Online,882,243,TX
2022-12-21,,pós-pago,,,Redes Sociais,527,4556,NY
2023-05-25,2024-04-20,pré-pago,Mudança para concorrente,331.0,Referência,815,1317,CA
2022-12-15,,pré-pago,,,Redes Sociais,469,4574,CA
2023-07-28,,pré-pago,,,Referência,606,1153,WA
2023-01-16,,pós-pago,,,Redes Sociais,227,1989,TX
2023-06-08,2024-05-22,pré-pago,,349.0,Busca Online,812,144,FL
2023-02-10,2024-02-04,pré-pago,Mudança para concorrente,359.0,Busca Online,696,992,IL
2022-09-02,,pós-pago,,,Publicidade Tradicional,562,1430,WA
2022-11-19,2023-09-04,pré-pago,Qualidade do Serviço,289.0,Publicidade Tradicional,407,1088,FL
2022-11-07,,pós-pago,,,Busca Online,720,562,WA
