ID_Venda,Data,ID_Loja,Localizacao,Canal,Categoria_Produto,Produto,Quantidade,Preco_Unitario,Desconto,ID_Cliente,Idade_Cliente,Genero_Cliente,Feedback
1,2022-02-18 00:45:34,001,São Paulo,Online,Camisetas,Camiseta Clássica,2,145,11,1000,18,Outro,Bom
2,2022-08-18 10:13:48,002,Porto Alegre,Online,Camisetas,Camiseta Clássica,2,77,36,1001,29,Masculino,Bom
3,2022-09-27 07:41:28,003,Rio de Janeiro,Online,Calças,Calça Casual,4,210,26,1002,32,Masculino,Bom
4,2022-03-25 15:03:22,004,Belo Horizonte,Loja Física,Camisetas,Camiseta Clássica,4,272,33,1003,40,Masculino,Bom
5,2022-02-19 16:19:10,005,São Paulo,Online,Camisetas,Camiseta Clássica,1,487,42,1004,38,Outro,Ótimo
6,2022-09-07 07:42:50,006,Rio de Janeiro,Online,Camisetas,Camiseta Estampada,1,64,14,1005,46,Masculino,Bom
7,2022-09-20 09:08:48,007,Porto Alegre,Loja Física,Calças,Calça Casual,3,167,10,1006,57,Feminino,Regular
8,2022-03-04 04:59:59,008,Belo Horizonte,Online,Tênis,NMD,2,56,14,1007,37,Feminino,Ruim
9,2022-03-31 07:04:28,009,Belo Horizonte,Loja Física,Tênis,Ultraboost,2,474,30,1008,17,Feminino,Ruim
10,2022-09-19 23:08:38,010,São Paulo,Loja Física,Tênis,Ultraboost,2,308,42,1009,68,Outro,Regular
11,2022-09-08 11:06:06,011,Porto Alegre,Loja Física,Calças,Calça Treino,4,103,39,1010,16,Masculino,Ruim
12,2022-06-23 10:59:25,012,Belo Horizonte,Loja Física,Tênis,Ultraboost,4,515,43,1011,28,Feminino,Regular
13,2022-12-13 05:57:15,013,Belo Horizonte,Loja Física,Calças,Calça Treino,2,569,2,1012,25,Outro,Ruim
14,2022-10-28 14:57:02,014,São Paulo,Online,Calças,Calça Casual,4,535,3,1013,62,Outro,Regular
15,2022-03-03 16:09:54,015,São Paulo,Loja Física,Camisetas,Camiseta Estampada,3,282,0,1014,16,Feminino,Bom
16,2022-01-13 00:55:23,016,São Paulo,Online,Calças,Calça Treino,2,285,22,1015,62,Feminino,Ótimo
17,2022-07-14 19:52:25,017,Rio de Janeiro,Online,Camisetas,Camiseta Clássica,4,319,36,1016,68,Masculino,Ruim
18,2022-08-04 19:46:49,018,Rio de Janeiro,Online,Tênis,NMD,1,527,23,1017,39,Masculino,Bom
19,2022-06-19 05:30:42,019,São Paulo,Online,Camisetas,Camiseta Estampada,1,438,49,1018,18,Feminino,Regular
20,2022-07-12 18:07:26,020,Porto Alegre,Online,Calças,Calça Casual,4,173,36,1019,50,Masculino,Bom
21,2022-03-18 21:55:51,021,Belo Horizonte,Online,Camisetas,Camiseta Estampada,4,291,13,1020,45,Masculino,Bom
22,2022-01-02 08:58:09,022,Belo Horizonte,Online,Calças,Calça Casual,1,341,16,1021,61,Outro,Ótimo
23,2022-01-22 07:42:36,023,Rio de Janeiro,Loja Física,Camisetas,Camiseta Estampada,2,312,26,1022,17,Feminino,Ruim
24,2022-01-22 23:08:53,024,Rio de Janeiro,Loja Física,Camisetas,Camiseta Estampada,2,319,43,1023,19,Outro,Bom
25,2022-08-27 10:01:28,025,São Paulo,Online,Tênis,Ultraboost,1,275,1,1024,46,Outro,Ótimo
26,2022-09-11 01:46:12,026,São Paulo,Online,Camisetas,Camiseta Estampada,3,555,15,1025,44,Feminino,Ruim
27,2022-03-10 01:08:34,027,Rio de Janeiro,Online,Calças,Calça Treino,1,445,25,1026,44,Masculino,Ruim
28,2022-11-29 02:28:23,028,São Paulo,Online,Camisetas,Camiseta Clássica,4,100,6,1027,63,Outro,Regular
29,2022-01-15 19:55:32,029,Rio de Janeiro,Loja Física,Calças,Calça Casual,2,594,26,1028,59,Feminino,Bom
30,2022-06-12 15:04:24,030,Belo Horizonte,Online,Camisetas,Camiseta Clássica,2,205,5,1029,26,Feminino,Regular
31,2022-03-12 12:43:17,031,São Paulo,Online,Tênis,NMD,4,108,39,1030,50,Masculino,Regular
32,2022-10-09 18:17:04,032,São Paulo,Online,Calças,Calça Treino,2,506,20,1031,66,Feminino,Bom
33,2022-01-11 17:47:32,033,Belo Horizonte,Online,Tênis,Ultraboost,2,218,2,1032,46,Masculino,Ótimo
34,2022-04-01 18:17:06,034,Rio de Janeiro,Online,Camisetas,Camiseta Clássica,1,492,35,1033,37,Outro,Bom
35,2022-12-26 00:21:25,035,Belo Horizonte,Online,Camisetas,Camiseta Estampada,4,382,27,1034,18,Masculino,Ruim
36,2022-06-17 01:15:36,036,Porto Alegre,Online,Camisetas,Camiseta Estampada,1,518,33,1035,28,Outro,Ótimo
